kind,idx,us,extra
rollover,1204,21,
rollover,1205,6,
rollover,1206,6,
rollover,1207,33,
rollover,1208,18,
rollover,1209,12,
rollover,1210,23,
rollover,1211,8,
rollover,1212,8,
rollover,1213,8,
rollover,1214,8,
rollover,1215,22,
rollover,1216,15,
rollover,1217,14,
rollover,1218,7,
rollover,1219,8,
rollover,1220,4,
rollover,1221,6,
rollover,1222,25,
rollover,1223,7,
rollover,1224,14,
rollover,1225,21,
rollover,1226,7,
rollover,1227,7,
rollover,1228,7,
rollover,1229,15,
rollover,1230,17,
rollover,1231,14,
rollover,1232,19,
rollover,1233,7,
rollover,1234,7,
rollover,1235,5,
rollover,1236,8,
rollover,1237,10,
rollover,1238,7,
rollover,1239,13,
rollover,1240,8,
rollover,1241,7,
rollover,1242,7,
rollover,1243,23,
rollover,1244,9,
rollover,1245,26,
rollover,1246,13,
rollover,1247,7,
rollover,1248,7,
rollover,1249,19,
rollover,1250,22,
rollover,1251,6,
rollover,1252,6,
rollover,1253,6,
rollover,1254,6,
rollover,1255,3,
rollover,1256,12,
rollover,1257,8,
rollover,1258,7,
rollover,1259,6,
rollover,1260,10,
rollover,1261,6,
rollover,1262,7,
rollover,1263,7,
rollover,1264,21,
rollover,1265,21,
rollover,1266,9,
rollover,1267,4,
rollover,1268,6,
rollover,1269,6,
rollover,1270,6,
rollover,1271,21,
rollover,1272,8,
rollover,1273,6,
rollover,1274,8,
rollover,1275,7,
rollover,1276,7,
rollover,1277,6,
rollover,1278,21,
rollover,1279,8,
rollover,1280,10,
rollover,1281,10,
rollover,1282,8,
rollover,1283,7,
rollover,1284,6,
rollover,1285,9,
rollover,1286,21,
rollover,1287,9,
rollover,1288,22,
rollover,1289,6,
rollover,1290,8,
rollover,1291,7,
rollover,1292,22,
rollover,1293,20,
rollover,1294,11,
rollover,1295,7,
rollover,1296,29,
rollover,1297,7,
rollover,1298,5,
rollover,1299,24,
rollover,1300,32,
rollover,1301,5,
rollover,1302,7,
